sample_nr,obs_well,depth,pH,redox,sulfate,ammonium,sulfide,methane,ironII,manganese,benzene,toluene,ethylbenzene,pm_xylene,o_xylene,indane,indene,naphthalene
 , ,m, ,mV,mg/L,mg/L,mg/L,mg/L,mg/L,mg/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L,ug/L
2000-001,B-MLS1-3-12,-12,7.23,-208,23,5,0,748,3,1,263,2,269,14,51,1254,41,2207
2000-002,B-MLS1-5-15,-15.5,7.67,-231,0,6,0,2022,1,0,179,7,1690,751,253,1352,15,5410
2000-003,B-MLS1-6-17,-17,7.75,-252,1,13,0,200,1,0,853,17,1286,528,214,1031,31,3879
2000-004,B-MLS1-7-19,-19,7.53,-317,9,15,6,122,0,0,1254,10,1202,79,61,814,59,1970
